institute,quota,category,closing_rank,candidates_seen,state
Govt. Medical College Jayashankar Bhupalpally,AIQ,General,132267,1,Telangana
Govt. Medical College Karur,AIQ,General,16740,5,Tamil Nadu
Govt. Medical College Rajanna Sircilla,AIQ,General,28079,2,Telangana
Govt. Medical College and Hospital,AIQ,General,133088,4,Maharashtra
Govt. Pudukkottai Medical College Hopt.,AIQ,General,18973,9,Tamil Nadu
Govt. Sivgangai M. C. Sivagangai,AIQ,General,19303,2,Tamil Nadu
Graphic Era Institute Of Medical Science,AIQ,General,576685,10,Uttarakhand
Gulbarga Institute of Medical Sciences,AIQ,General,129845,10,Karnataka
HASSAN INST. MEDICAL SCIENCES,AIQ,General,133599,11,Karnataka
Haveri Institute of Medical Sciences,AIQ,General,152565,10,Karnataka
Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital,AIQ,General,102783,8,Maharashtra
INDIRA GANDHI GOVT.MEDICAL COLL.,AIQ,General,109255,18,Maharashtra
INDIRA GANDHI MEDICAL COLL.,AIQ,General,7698,6,Himachal Pradesh
INST OF PG MED EDU & RESEARCH,AIQ,General,71259,4,
INST.OF MED.SCIENCES,AIQ,General,20606,4,
IRT Perundurai Medical College,AIQ,General,125728,7,
Indira Gandhi Institute of Medical Sciences,AIQ,General,96049,2,Bihar
Indira Gandhi Medical College & RI,AIQ,General,127289,10,Puducherry
Institute of Medical Sciences & SUM Hospital,AIQ,General,396950,25,Odisha
Institute of Medical Sciences and SUM Host.,AIQ,General,398720,33,Odisha
JAWAHAR LAL NEHRU MEDICAL,AIQ,General,60827,8,Rajasthan
JHALAWAR MEDICAL COLLEGE,AIQ,General,76687,8,Rajasthan
JIPMER KARAIKAL,AIQ,General,71488,7,Puducherry
JIPMER PUDUCHERRY,AIQ,General,126024,4,Puducherry
JLN IMS,AIQ,General,140433,2,Manipur
JLN Medical College,AIQ,General,587084,14,Maharashtra
JSS Medical College,AIQ,General,167972,1,Karnataka
Jagadguru Gangadhar Mahaswamigalu Moorusavirma th Medical College,AIQ,General,394117,31,Karnataka
Jawahar Lal Nehru Medical College,AIQ,General,195073,40,Karnataka
Jawaharlal Nehru Medical College,AIQ,General,111142,8,Uttar Pradesh
Jhargram Government Medical College and Hospital,AIQ,General,149018,3,West Bengal
Jorhat Medical College and Hospital,AIQ,General,131902,7,Assam
K.A.P. VISWANATHAM Govt Medical College,AIQ,General,14942,6,Tamil Nadu
K.S Hegde Medical Academy,AIQ,General,137517,3,Karnataka
KANYAKUMARI GOVT. MED. COLL.,AIQ,General,1180453,2,
KARNATAK INST. OF MEDICAL SC.,AIQ,General,100347,8,Karnataka
KGMC,AIQ,General,63833,6,Uttar Pradesh
KURNOOL MEDICAL COLLEGE,AIQ,General,22480,4,Andhra Pradesh
Kakatiya Medical College Warangal,AIQ,General,1018550,11,Telangana
Kalinga Institute of Medical Sciences,AIQ,General,202084,11,Odisha
Kalpana Chawla Govt. Medical College,AIQ,General,10661,2,Haryana
Kalyan Singh Government Medical College,AIQ,General,104956,3,
Karwar Institute of Medical Sciences,AIQ,General,126484,13,Karnataka
Kasturba Medical College,AIQ,General,41533,1,Karnataka
Kodagu Institute of Medical Sciences,AIQ,General,1093495,16,Karnataka
Kokrajhar Medical College & Hospital Rangalikhata,AIQ,General,24347,1,Assam
Koppal Institute of Medical Sciences,AIQ,General,128737,11,Karnataka
Krishna Inst. of Med. Scie.,AIQ,General,609275,11,Maharashtra
L.L.R.M. MEDICAL COLLEGE,AIQ,General,9650,8,Uttar Pradesh
LOKMANYA TILAK MUNICIPAL M C,AIQ,General,109648,5,Maharashtra
Lady Hardinge Medical College,AIQ,General,15212,2,Delhi
Lakhimpur Medical College,AIQ,General,154315,1,Assam
Lt. B R K Government Medical College,AIQ,General,1060971,4,Chhattisgarh
Lt. L A M Govt. Medical College,AIQ,General,116700,9,Chhattisgarh
M.G.M. MEDICAL COLLEGE,AIQ,General,112712,19,Jharkhand
M.P. SHAH MEDICAL COLLEGE,AIQ,General,89872,14,Gujarat
MADRAS MEDICAL COLLEGE,AIQ,General,6861,1,Tamil Nadu
MADURAI MEDICAL COLLEGE,AIQ,General,123915,6,Tamil Nadu
MAHARAJA K.C. GAJAPATI M.C.,AIQ,General,129391,2,Odisha
MAHARANI LAXMI BAI MEDICAL COLL,AIQ,General,95992,9,Uttar Pradesh
MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE,AIQ,General,105293,4,
MALDA MED. COLLEGE,AIQ,General,23295,4,West Bengal
MANDYA INST. OF MEDICAL SCI.,AIQ,General,111130,10,Karnataka
MEDICAL COLLEGE,AIQ,General,525315,21,Gujarat
MG Inst. of Medical Sciences,AIQ,General,875780,15,Maharashtra
MGM Medical College,AIQ,General,297942,17,Maharashtra
MIDNAPORE MEDICAL COLLEGE,AIQ,General,122611,7,West Bengal
MM Inst. Med. and Research,AIQ,General,476335,6,Haryana
MOTI LAL NEHRU MEDICAL COLL,AIQ,General,80403,13,
MRA MEDICAL COLLEGE AMBEDKAR NAGAR,AIQ,General,101608,6,
MYSORE MED.& RESEARCH INST. MYSORE,AIQ,General,15375,4,Karnataka
Maharaja Jitendra Narayan Medical College and Hospital Coochbehar,AIQ,General,24204,6,West Bengal
Maharishi Chyawan Medical College,AIQ,General,1039159,5,Haryana
Mahatma Gandhi Medical College,AIQ,General,808791,21,Puducherry
Mahatma Gandhi Mission Medical College,AIQ,General,373553,13,Maharashtra
Mahatma Gandhi Missions Medical College,AIQ,General,624436,39,
Mahatma Vidur Autonomous State Medical College,AIQ,General,102420,8,Uttar Pradesh
Malla Reddy Institute of Medical Sciences,AIQ,General,451856,7,Telangana
Malla Reddy Medical College for Women,AIQ,General,541861,8,Telangana
Maulana Azad Medical College,AIQ,General,138067,1,Delhi
Medinirai Medical College (previously Known as Palamu Medical College),AIQ,General,135357,6,Jharkhand
Meenakshi Medical College Hospital and Research Institute,AIQ,General,657379,8,Tamil Nadu
Mursidabad M C & Hospital,AIQ,General,747846,5,
NALANDA MEDICAL COLLEGE,AIQ,General,112881,1,Bihar
