sno,state,code,name,mgmt,renewed,increased,total
680,Uttar Pradesh,UP/071/P/3,"Saraswati Institute of Medical Sciences, Hapur",Private,250,0,250
681,Uttar Pradesh,UP/072/P/3,"Saraswati Medical College, Unnao, U.P.",Private,150,0,150
682,West Bengal,WB/038/G/1,"Sarat Chandra Chattopadhyay Government Medical College & Hospital,",Government,100,50,150
683,Uttar Pradesh,New Establishment,sardar Patel Institute of medical education and health sciences,Private,0,50,50
684,Rajasthan,RJ/043/G/1,"Sardar Patel Medical College, Bikaner",Government,250,0,250
685,Tamil Nadu,TN/055/P/3,"Saveetha Medical College and Hospital, Kanchipuram",Private,250,0,250
686,Gujarat,GJ/037/P/3,"SBKS Medical Instt. & Research Centre, Vadodra",Private,250,0,250
687,Odisha,OD/017/G/1,"SCB Medical College, Cuttack",Government,250,0,250
688,Madhya Pradesh,MP/029/P/4,"School of Medical Sciences, Sri Satya Sai University of Technology and Medical Sciences",Private,100,0,100
689,Karnataka,KA/053/P/4,"SDM College of Medical Sciences & Hospital, Sattur, Dharwad",Private,150,0,150
690,Maharashtra,MH/073/G/1,"Seth GS Medical College, Mumbai",Government,250,0,250
691,Telangana,TS/063/P/4,"Shadan Institute of Medical Sciences,Research Centre and Teaching Hospital, Peerancheru",Private,150,100,250
692,Haryana,HR/015/G/1,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",Government,120,0,120
693,Jharkhand,JH/009/G/1,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad (formely known as Patliputra Medical College, Dhanbad)",Government,100,0,100
694,Uttar Pradesh,UP/074/G/1,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur",Government,100,0,100
695,Gujarat,GJ/038/P/3,"Shantabaa Medical College, Amreli",Private,200,0,200
696,Uttar Pradesh,UP/073/P/3,"Sharda School of Medical Sciences & Research ( previously School of Medical Sciences & Research,Greater Noida)",Private,250,0,250
697,Jammu and Kashmir,JK/011/G/1,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar",Government,125,0,125
698,Manipur,MN/004/P/5,Shija Academy of Health Sciences,Private,150,0,150
699,Meghalaya,ML/003/G/5,Shillong Medical College,Government,50,0,50
700,Karnataka,KA/054/G/1,"Shimoga Institute of Medical Sciences, Shimoga",Government,150,0,150
701,Bihar,BR/020/P/3,Shree Narayan Medical Institute and Hospital,Private,150,0,150
702,Karnataka,KA/055/G/1,"Shri Atal Bihari Vajapayee Medical College and Research Institute, Bengaluru,",Government,200,0,200
703,Haryana,HR/016/G/1,"Shri Atal Bihari Vajpayee Government Medical College, Faridabad",Government,100,0,100
704,Karnataka,KA/056/P/4,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur",Private,250,0,250
705,Chhattisgarh,CG/012/P/4,Shri Balaji Institute of Medical Science,Private,250,0,250
706,Uttar Pradesh,UP/075/P/4,Shri Gorakshnath Medical College Hospital & Arogya Dham Gorakhpur (UP),Private,150,0,150
707,Uttarakhand,UK/007/P/4,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",Private,250,0,250
708,Rajasthan,RJ/044/G/1,"Shri Kalyan Govt. Medical College, Sikar, Rajasthan",Government,100,0,100
709,Bihar,BR/021/G/1,"Shri Krishna Medical College, Muzzafarpur",Government,120,30,150
710,Himachal Pradesh,HP/007/G/1,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP",Government,120,0,120
711,Uttar Pradesh,UP/076/P/3,"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",Private,200,0,200
712,West Bengal,WB/039/P/3,"Shri Ramkrishna Institute of Medical Sciences & Sanaka Hospitals, Durgapur",Private,250,0,250
713,Chhattisgarh,CG/013/P/3,"Shri Rawatpura Sarkar Institute of Medical Sciences and Research Atal Nagar, Dist- Raipur (C.G.)",Private,150,0,150
714,Tamil Nadu,TN/056/P/3,"Shri Sathya Sai Medical College and Research Institute, Kancheepuram",Private,250,0,250
715,Chhattisgarh,CG/014/P/4,"Shri Shankaracharya Institute of Medical Sciences, Bhilai",Private,250,0,250
716,Uttar Pradesh,UP/077/P/3,Shri Siddhi Vinayak Medical College & Hospital Sambhal (UP) 244302,Private,150,50,200
717,Maharashtra,MH/074/G/1,"Shri Vasant Rao Naik Govt. Medical College, Yavatmal",Government,200,0,200
718,Karnataka,KA/057/P/3,"Shridevi Institute of Medical Sciences & Research Hospital, Tumkur",Private,250,0,250
719,Chhattisgarh,CG/015/G/1,"Shrimati Indira Gandhi Memorial Govt. Medical College, Kanker, Chattisgarh (previously Government Medical College, Kanker)",Government,125,0,125
720,Bihar,New Establishment,SHRINIVAS G EDUCATIONAL & RESEARCH INSTITUTE OF MEDICAL SCIENCES,Private,0,100,100
721,Madhya Pradesh,MP/030/G/1,"Shyam Shah Medical College, Rewa",Government,150,50,200
722,Bihar,BR/022/P/3,SHYAMLAL CHANDRASHEKHAR MEDICAL COLLEGE & S P N M HOPSITAL,Private,100,0,100
723,Karnataka,KA/058/P/3,"Siddaganga Medical College and Research Institute, Tumakuru",Private,200,50,250
724,Jharkhand,New Establishment,Sido Kanhu Medical College and Hospital,Private,0,100,100
725,Sikkim,New Establishment,Sikkim Government Medical College,Government,0,100,100
726,Sikkim,SK/001/P/1,"Sikkim Manipal Institute of Medical Sciences, Gangtok",Private,100,0,100
727,Assam,AS/013/G/1,"Silchar Medical College, Silchar",Government,150,0,150
728,Maharashtra,MH/075/P/4,"Sindhudurg Shikshan Prasarak Mandal (SSPM) Medical College & Lifetime Hospital, Padave, Sindhudurg",Private,149,0,149
729,Uttar Pradesh,UP/078/P/4,SKS Hospital Medical College & Research Centre,Private,200,0,200
730,West Bengal,New Establishment,SKS MEDICAL COLLEGE,Private,0,150,150
731,Maharashtra,MH/076/P/3,"SMBT Institute of Medical Sciences & Research Centre, Nandihills, Nashik",Private,150,0,150
732,Rajasthan,RJ/045/G/1,"SMS Medical College, Jaipur",Government,250,0,250
733,Maharashtra,MH/077/P/3,Smt Sakhubai Narayanrao Katkade Medical College and Research Center,Private,100,0,100
734,Maharashtra,MH/078/P/4,"Smt. Kashibai Navale Medical College and General Hospital, Pune",Private,150,0,150
