Kerala|Government Medical College, Idukki|100|Government
Telangana|Government Medical College, Jagtial|150|Government
Rajasthan|Government Medical College, Jaisalmer|50|Government
Maharashtra|Government Medical College, Jalgaon|150|Government
Maharashtra|Government Medical College, Jalna|100|Government
Jammu and Kashmir|Government Medical College, Jammu|250|Government
Chattisgarh|government medical college, jashpur-kunkuri|50|Government
Telangana|Government Medical College, Jayashankar Bhupalpally|100|Government
Rajasthan|Government Medical College, Jhunjhunu|100|Government
Telangana|Government Medical College, Jogulumba Gadwal|50|Government
Andhra Pradesh|Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa)|250|Government
Tamil Nadu|Government Medical College, Kallakurichi|150|Government
Telangana|Government Medical College, Kamareddy|100|Government
Rajasthan|Government Medical College, Karauli|100|Government
Telangana|Government Medical College, Karimnagar|100|Government
Tamil Nadu|Government Medical College, Karur|150|Government
Jammu and Kashmir|Government Medical College, Kathua|150|Government
Madhya Pradesh|Government Medical College, Khandwa, MP|120|Government
Telangana|GOVERNMENT MEDICAL COLLEGE, KODANGAL|50|Government
Kerala|Government Medical College, Konni|100|Government
Chhattisgarh|Government Medical College, Korba|125|Government
Rajasthan|Government Medical College, Kota|250|Government
Kerala|Government Medical College, Kottayam|175|Government
Kerala|Government Medical College, Kozhikode, Calicut|250|Government
Tamil Nadu|Government Medical College, Krishnagiri|150|Government
Maharashtra|Government Medical College, Latur|150|Government
Andhra Pradesh|Government Medical College, Machilipatnam|150|Government
Telangana|Government Medical College, Mahabubabad|150|Government
Telangana|Government Medical College, Mahabubnagar|200|Government
Chhattisgarh|Government Medical College, Mahasamund|125|Government
Telangana|Government Medical College, Maheshwaram|50|Government
Telangana|Government Medical College, Mancherial|100|Government
Kerala|Government Medical College, Manjeri, Malapuram Dist.|110|Government
Maharashtra|Government Medical College, Miraj|200|Government
Gujarat|Government Medical College, Morbi|100|Government
Telangana|Government Medical College, Mulugu|50|Government
Tamil Nadu|Government Medical College, Nagapattinam|150|Government
Telangana|Government Medical College, Nagarkurnool|150|Government
Rajasthan|Government Medical College, Nagaur|100|Government
Maharashtra|Government Medical College, Nagpur|250|Government
Himachal Pradesh|Government Medical College, Nahan, Sirmour H.P.|120|Government
Telangana|Government Medical College, Nalgonda|150|Government
Tamil Nadu|Government Medical College, Namakkal|150|Government
Maharashtra|Government Medical College, Nandurbar|100|Government
Andhra Pradesh|Government Medical College, Nandyal|150|Government
Telangana|Government Medical College, Narayanpet|50|Government
Telangana|Government Medical College, Narsampet|50|Government
Maharashtra|Government Medical College, Nashik|100|Government
Telangana|Government Medical College, Nirmal|100|Government
Telangana|Government Medical College, Nizamabad|150|Government
Tamil Nadu|Government Medical College, Omandurar|100|Government
Andhra Pradesh|Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole)|150|Government
Maharashtra|Government Medical College, Osmanabad|100|Government
Andhra Pradesh|Government Medical College, Paderu|50|Government
Rajasthan|Government Medical College, Pali, Rajasthan|150|Government
Gujarat|Government Medical College, Panchmahal Godhra|100|Government
Maharashtra|Government Medical College, Parbhani|100|Government
Kerala|Government Medical College, Parippally, Kollam|110|Government
Punjab|Government Medical College, Patiala|250|Government
Andhra Pradesh|Government Medical College, Piduguralla|50|Government
Gujarat|Government Medical College, Porbandar|100|Government
Tamil Nadu|Government Medical College, Pudukottai, Tamil Nadu|150|Government
Bihar|Government Medical College, Purnea|100|Government
Telangana|Government medical College, Quthbullapur|50|Government
Andhra Pradesh|Government Medical College, Rajamahendravaram|150|Government
Telangana|Government Medical College, Rajanna Sircilla|100|Government
Jammu and Kashmir|Government Medical College, Rajouri, J&K|100|Government
Telangana|Government Medical College, Ramagundam|150|Government
Tamil Nadu|Government Medical College, Ramanathapuram|100|Government
Uttar Pradesh|Government Medical College, Rampur, Basti|100|Government
Telangana|Government Medical College, Sangareddy|150|Government
Maharashtra|Government Medical College, Satara|100|Government
Madhya Pradesh|Government Medical College, Satna|150|Government
Rajasthan|Government Medical College, Sawai Madhopur|100|Government
Madhya Pradesh|Government Medical College, Seoni|100|Government
Madhya Pradesh|Government Medical College, Shahdol, MP|100|Government
Uttar Pradesh|Government Medical College, Shahjahanpur, UP|100|Government
Madhya Pradesh|Government Medical College, Shivpuri, MP|100|Government
Telangana|Government Medical College, Siddipet|200|Government
