Odisha|Sri Jagannath Medical College & Hospital, Puri|100
Odisha|Veer Surendra Sai Institute of Medical Sciences and Research, Burla|250
Puducherry|Indira Gandhi Medical College & Research Institute, Puducherry|180
Punjab|Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar, Mohali|100
Punjab|ESIC Medical College Ludhiana|50
Punjab|Government Medical College, Amritsar|250
Punjab|Government Medical College, Patiala|250
Punjab|Guru Govind Singh Medical College, Faridkot|250
Rajasthan|Dr SN Medical College, Jodhpur|250
Rajasthan|Employees State Insurance Corporation Medical College, Alwar|100
Rajasthan|ESIC Medical College and Hospital, Jaipur|50
Rajasthan|Government Medical College, Alwar|100
Rajasthan|Government Medical College, Banswara|100
Rajasthan|Government Medical College, Baran|100
Rajasthan|Government Medical College, Barmer|130
Rajasthan|Government Medical College, Bharatpur|150
Rajasthan|Government Medical College, Bhilwara|150
Rajasthan|Government Medical College, Bundi|100
Rajasthan|Government Medical College, Chittorgarh|100
Rajasthan|Government Medical College, Churu|150
Rajasthan|Government Medical College, Dausa|100
Rajasthan|Government Medical College, Dholpur|100
Rajasthan|Government Medical College, Dungarpur|150
Rajasthan|Government Medical College, Hanumangarh|100
Rajasthan|Government Medical College, Jaisalmer|50
Rajasthan|Government Medical College, Jhunjhunu|100
Rajasthan|Government Medical College, Karauli|100
Rajasthan|Government Medical College, Kota|250
Rajasthan|Government Medical College, Nagaur|100
Rajasthan|Government Medical College, Pali|150
Rajasthan|Government Medical College, Sawai Madhopur|100
Rajasthan|Government Medical College, Sirohi|100
Rajasthan|Government Medical College, Sri Ganganagar|100
Rajasthan|Government medical college, Tonk|50
Rajasthan|Jawaharlal Nehru Medical College, Ajmer|250
Rajasthan|Jhalawar Medical College, Jhalawar|200
Rajasthan|RUHS College of Medical Sciences, Jaipur|150
Rajasthan|Shri Kalyan Govt. Medical College, Sikar|100
Sikkim|Sikkim Government Medical College|100
Tamil Nadu|Chengalpattu Medical College, Chengalpattu|100
Tamil Nadu|Coimbatore Medical College, Coimbatore|200
Tamil Nadu|ESIC Medical College & PGIMSR, K.K Nagar, Chennai|149
Tamil Nadu|Government Dharmapuri Medical College, Dharmapuri|100
Tamil Nadu|Government Erode Medical College & Hospital, Perundurai|100
Tamil Nadu|Government Medical College & ESIC Hospital, Coimbatore|100
Tamil Nadu|Government Medical College & Hospital, Cuddalore|150
Tamil Nadu|Government Medical College, Ariyalur|150
Tamil Nadu|Government Medical College, Dindigul|150
Tamil Nadu|Government Medical College, Kallakurichi|150
Tamil Nadu|Government Medical College, Karur|150
Tamil Nadu|Government Medical College, Krishnagiri|150
Tamil Nadu|Government Medical College, Nagapattinam|150
Tamil Nadu|Government Medical College, Namakkal|150
Tamil Nadu|Government Medical College, Omandurar|100
Tamil Nadu|Government Medical College, Pudukottai|150
Tamil Nadu|Government Medical College, Ramanathapuram|100
Tamil Nadu|Government Medical College, The Nilgiris|150
Tamil Nadu|Government Medical College, Thiruvallur|150
Tamil Nadu|Government Medical College, Tiruppur|150
Tamil Nadu|Government Medical College, Virudhunagar|150
Tamil Nadu|Government Sivagangai Medical College, Sivaganga|100
Tamil Nadu|Government Thiruvannamalai Medical College|100
Tamil Nadu|Government Vellore Medical College|100
Tamil Nadu|Government Villupuram Medical College|100
Tamil Nadu|Govt. Mohan Kumaramangalam Medical College, Salem|100
Tamil Nadu|K A P Viswanathan Government Medical College, Trichy|150
Tamil Nadu|KanyaKumari Government Medical College, Asaripallam|150
Tamil Nadu|Kilpauk Medical College, Chennai|150
Tamil Nadu|Thanjavur Medical College, Thanjavur|150
Tamil Nadu|Theni Government Medical College, Theni|100
Tamil Nadu|Thiruvarur Govt. Medical College, Thiruvarur|100
Tamil Nadu|Thoothukudi Medical College, Thoothukudi|150
Tamil Nadu|Tirunelveli Medical College, Tirunelveli|250
Telangana|Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad|150
Telangana|Government Medical College Jangaon|100
Telangana|Government Medical College Khammam|100
Telangana|Government Medical College Kumuram Bheem Asifabad|100
Telangana|Government Medical College Medak|50
Telangana|Government Medical College, Bhadradri Kothagudem|150
Telangana|Government Medical College, Jagtial|150
Telangana|Government Medical College, Jayashankar Bhupalpally|100
Telangana|Government Medical College, Jogulumba Gadwal|50
Telangana|Government Medical College, Kamareddy|100
Telangana|Government Medical College, Karimnagar|100
Telangana|Government Medical College, Kodangal|50
Telangana|Government Medical College, Mahabubabad|150
Telangana|Government Medical College, Mahabubnagar|200
Telangana|Government Medical College, Maheshwaram|50
Telangana|Government Medical College, Mancherial|100
Telangana|Government Medical College, Mulugu|50
Telangana|Government Medical College, Nagarkurnool|150
Telangana|Government Medical College, Nalgonda|150
Telangana|Government Medical College, Narayanpet|50
Telangana|Government Medical College, Narsampet|50
Telangana|Government Medical College, Nirmal|100
Telangana|Government Medical College, Nizamabad|150
Telangana|Government medical College, Quthbullapur|50
Telangana|Government Medical College, Rajanna Sircilla|100
Telangana|Government Medical College, Ramagundam|150
Telangana|Government Medical College, Sangareddy|150
Telangana|Government Medical College, Siddipet|200
Telangana|Government Medical College, Suryapet|150
Telangana|Government Medical College, Vikarabad|100
Telangana|Government Medical College, Wanaparthy|150
Telangana|Government Medical College, Yadadri|50
Telangana|Kakatiya Medical College, Warangal|250
Telangana|Rajiv Gandhi Institute of Medical Sciences, Adilabad|150
Tripura|Agartala Government Medical College|200
Uttar Pradesh|Autonomous state medical college Amethi|100
Uttar Pradesh|Autonomous State Medical College and Hospital, Gonda|100
Uttar Pradesh|Autonomous State Medical College and Hospital, Kaushambi|100
Uttar Pradesh|Autonomous State Medical College and Hospital, Lakhimpur Kheri|100
Uttar Pradesh|Autonomous State Medical College, Kushinagar|100
Uttar Pradesh|Autonomous State Medical College, Lalitpur|100
Uttar Pradesh|Autonomous State Medical College, Pilibhit|100
Uttar Pradesh|Autonomous State Medical College, Pratapgarh|100
Uttar Pradesh|Autonomous State Medical College Society, Ghazipur|100
Uttar Pradesh|Autonomous State Medical College Society, Etah|100
Uttar Pradesh|Autonomous State Medical College Society, Fatehpur|100
Uttar Pradesh|Autonomous State Medical College Society, Hardoi|100
Uttar Pradesh|Autonomous State Medical College, Sultanpur|100
Uttar Pradesh|Autonomous State Medical College, Akbarpur, Kanpur|100
Uttar Pradesh|Autonomous State Medical College, Siddharthnagar|100
Uttar Pradesh|Autonomous State Medical College, Sonebhadra|100
Uttar Pradesh|Autonomous State Society Medical College, Mirzapur|100
Uttar Pradesh|Baba Kina Ram Autonomous State Medical College and Hospital, Chandauli|100
Uttar Pradesh|BRD Medical College, Gorakhpur|150
Uttar Pradesh|Dr. Bhimrao Ramji Ambedkar Government Medical College, Kannauj|100
Uttar Pradesh|Dr. Ram Manohar Lohia Institute of Medical Sciences, Lucknow|200
Uttar Pradesh|ESIC Medical College and Hospital, Noida|50
Uttar Pradesh|ESIC Medical College and Hospital, Varanasi|50
Uttar Pradesh|Government Allopathic Medical College, Banda|100
Uttar Pradesh|Government Institute of Medical Sciences, Kasna, Greater Noida|100
Uttar Pradesh|Government Medical College & Super facility Hospital, Azamgarh|100
Uttar Pradesh|Government Medical College, Badaun|100
Uttar Pradesh|Government Medical College, Faizabad|100
Uttar Pradesh|Government Medical College, Firozabad|100
Uttar Pradesh|Government Medical College, Rampur, Basti|100
Uttar Pradesh|Government Medical College, Shahjahanpur|100
